Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Male),0.233,6879,6885,03:49,03:50
WingExt,Fly 1 (Female),0.167,6881,6885,03:49,03:50
WingExt,Fly 0 (Male),0.233,6940,6946,03:51,03:52
WingExt,Fly 0 (Male),0.233,6951,6957,03:52,03:52
WingExt,Fly 0 (Male),0.1,6987,6989,03:53,03:53
WingExt,Fly 0 (Male),0.167,6991,6995,03:53,03:53
WingExt,Fly 0 (Male),0.233,7066,7072,03:56,03:56
WingExt,Fly 1 (Female),0.1,7077,7079,03:56,03:56
WingExt,Fly 0 (Male),0.2,7136,7141,03:58,03:58
WingExt,Fly 0 (Male),0.133,7164,7167,03:59,03:59
WingExt,Fly 0 (Male),0.1,7197,7199,04:00,04:00
WingExt,Fly 0 (Male),0.2,7213,7218,04:00,04:01
